priority,graph_name,chart_type,source_file,status,detected_columns_or_asset,reason,suggested_output_filename
1,Dataset category distribution,horizontal bar,experiments/results/rice/rice_fedavg_noniid_resnet18/evaluation/evaluation_metrics.json,Ready from structured data,"class_names, results.test.num_images, results.test.per_class, results.test.per_class.support, results.validation.num_images, results.validation.per_class, results.validation.per_class.support","Shows the actual number and percentage of healthy, disease or defect categories in the rice and wheat datasets.",evaluation_metrics_category_distribution.png
1,Dataset category distribution,horizontal bar,experiments/results/rice/rice_fedavg_noniid_resnet18/evaluation/test_per_class_metrics.csv,Ready from structured data,"class_name, support","Shows the actual number and percentage of healthy, disease or defect categories in the rice and wheat datasets.",test_per_class_metrics_category_distribution.png
1,Dataset category distribution,horizontal bar,experiments/results/rice/rice_fedavg_noniid_resnet18/evaluation/validation_per_class_metrics.csv,Ready from structured data,"class_name, support","Shows the actual number and percentage of healthy, disease or defect categories in the rice and wheat datasets.",validation_per_class_metrics_category_distribution.png
1,Dataset category distribution,horizontal bar,experiments/results/rice/rice_mobilenetv2_grouped_v1/test_per_class_metrics.csv,Ready from structured data,"class_name, support","Shows the actual number and percentage of healthy, disease or defect categories in the rice and wheat datasets.",test_per_class_metrics_category_distribution.png
1,Dataset category distribution,horizontal bar,experiments/results/rice/rice_mobilenetv2_grouped_v1/validation_per_class_metrics.csv,Ready from structured data,"class_name, support","Shows the actual number and percentage of healthy, disease or defect categories in the rice and wheat datasets.",validation_per_class_metrics_category_distribution.png
1,Dataset category distribution,horizontal bar,experiments/results/rice/rice_resnet18_grouped_v1/test_per_class_metrics.csv,Ready from structured data,"class_name, support","Shows the actual number and percentage of healthy, disease or defect categories in the rice and wheat datasets.",test_per_class_metrics_category_distribution.png
1,Dataset category distribution,horizontal bar,experiments/results/rice/rice_resnet18_grouped_v1/validation_per_class_metrics.csv,Ready from structured data,"class_name, support","Shows the actual number and percentage of healthy, disease or defect categories in the rice and wheat datasets.",validation_per_class_metrics_category_distribution.png
1,Dataset category distribution,horizontal bar,experiments/results/wheat/wheat_resnet18_grouped_v2/test_07_per_class_metrics.csv,Ready from structured data,"class_name, support","Shows the actual number and percentage of healthy, disease or defect categories in the rice and wheat datasets.",test_07_per_class_metrics_category_distribution.png
1,Dataset category distribution,horizontal bar,experiments/results/wheat/wheat_resnet18_grouped_v2/test_per_class_metrics.csv,Ready from structured data,"class_name, support","Shows the actual number and percentage of healthy, disease or defect categories in the rice and wheat datasets.",test_per_class_metrics_category_distribution.png
1,Dataset category distribution,horizontal bar,experiments/results/wheat/wheat_resnet18_grouped_v2/validation_per_class_metrics.csv,Ready from structured data,"class_name, support","Shows the actual number and percentage of healthy, disease or defect categories in the rice and wheat datasets.",validation_per_class_metrics_category_distribution.png
1,Dataset category distribution,horizontal bar,experiments/results/wheat/wheat_resnet18_grouped_v3_sqrt_weights/test_07_per_class_metrics.csv,Ready from structured data,"class_name, support","Shows the actual number and percentage of healthy, disease or defect categories in the rice and wheat datasets.",test_07_per_class_metrics_category_distribution.png
1,Dataset category distribution,horizontal bar,experiments/results/wheat/wheat_resnet18_grouped_v3_sqrt_weights/test_per_class_metrics.csv,Ready from structured data,"class_name, support","Shows the actual number and percentage of healthy, disease or defect categories in the rice and wheat datasets.",test_per_class_metrics_category_distribution.png
1,Dataset category distribution,horizontal bar,experiments/results/wheat/wheat_resnet18_grouped_v3_sqrt_weights/validation_per_class_metrics.csv,Ready from structured data,"class_name, support","Shows the actual number and percentage of healthy, disease or defect categories in the rice and wheat datasets.",validation_per_class_metrics_category_distribution.png
1,Dataset category distribution,horizontal bar,results/Rice/Centralized/EfficientNetB0/seed42/test_per_class_metrics.csv,Ready from structured data,"class_name, support","Shows the actual number and percentage of healthy, disease or defect categories in the rice and wheat datasets.",test_per_class_metrics_category_distribution.png
1,Dataset category distribution,horizontal bar,results/Rice/Centralized/EfficientNetB0/seed42/validation_per_class_metrics.csv,Ready from structured data,"class_name, support","Shows the actual number and percentage of healthy, disease or defect categories in the rice and wheat datasets.",validation_per_class_metrics_category_distribution.png
1,Dataset category distribution,horizontal bar,results/Rice/Centralized/MobileNetV2/seed42/test_per_class_metrics.csv,Ready from structured data,"class_name, support","Shows the actual number and percentage of healthy, disease or defect categories in the rice and wheat datasets.",test_per_class_metrics_category_distribution.png
1,Dataset category distribution,horizontal bar,results/Rice/Centralized/MobileNetV2/seed42/validation_per_class_metrics.csv,Ready from structured data,"class_name, support","Shows the actual number and percentage of healthy, disease or defect categories in the rice and wheat datasets.",validation_per_class_metrics_category_distribution.png
1,Dataset category distribution,horizontal bar,results/Rice/Centralized/ResNet18/seed42/test_per_class_metrics.csv,Ready from structured data,"class_name, support","Shows the actual number and percentage of healthy, disease or defect categories in the rice and wheat datasets.",test_per_class_metrics_category_distribution.png
1,Dataset category distribution,horizontal bar,results/Rice/Centralized/ResNet18/seed42/validation_per_class_metrics.csv,Ready from structured data,"class_name, support","Shows the actual number and percentage of healthy, disease or defect categories in the rice and wheat datasets.",validation_per_class_metrics_category_distribution.png
1,Dataset category distribution,horizontal bar,results/Rice/DDP/ResNet18/Final/evaluation/evaluation_metrics.json,Ready from structured data,"class_names, results.test.num_images, results.test.per_class, results.test.per_class.support, results.validation.num_images, results.validation.per_class, results.validation.per_class.support","Shows the actual number and percentage of healthy, disease or defect categories in the rice and wheat datasets.",evaluation_metrics_category_distribution.png
1,Dataset category distribution,horizontal bar,results/Rice/DDP/ResNet18/Final/evaluation/test_per_class_metrics.csv,Ready from structured data,"class_name, support","Shows the actual number and percentage of healthy, disease or defect categories in the rice and wheat datasets.",test_per_class_metrics_category_distribution.png
1,Dataset category distribution,horizontal bar,results/Rice/DDP/ResNet18/Final/evaluation/validation_per_class_metrics.csv,Ready from structured data,"class_name, support","Shows the actual number and percentage of healthy, disease or defect categories in the rice and wheat datasets.",validation_per_class_metrics_category_distribution.png
1,Dataset category distribution,horizontal bar,results/Rice/Federated/FedAvg/IID/MobileNetV2/evaluation/test_per_class_metrics.csv,Ready from structured data,"class_name, support","Shows the actual number and percentage of healthy, disease or defect categories in the rice and wheat datasets.",test_per_class_metrics_category_distribution.png
1,Dataset category distribution,horizontal bar,results/Rice/Federated/FedAvg/IID/MobileNetV2/evaluation/validation_per_class_metrics.csv,Ready from structured data,"class_name, support","Shows the actual number and percentage of healthy, disease or defect categories in the rice and wheat datasets.",validation_per_class_metrics_category_distribution.png
1,Dataset category distribution,horizontal bar,results/Rice/Federated/FedAvg/IID/ResNet18/evaluation/evaluation_metrics.json,Ready from structured data,"class_names, results.test.num_images, results.test.per_class, results.test.per_class.support, results.validation.num_images, results.validation.per_class, results.validation.per_class.support","Shows the actual number and percentage of healthy, disease or defect categories in the rice and wheat datasets.",evaluation_metrics_category_distribution.png
1,Dataset category distribution,horizontal bar,results/Rice/Federated/FedAvg/IID/ResNet18/evaluation/test_per_class_metrics.csv,Ready from structured data,"class_name, support","Shows the actual number and percentage of healthy, disease or defect categories in the rice and wheat datasets.",test_per_class_metrics_category_distribution.png
1,Dataset category distribution,horizontal bar,results/Rice/Federated/FedAvg/IID/ResNet18/evaluation/validation_per_class_metrics.csv,Ready from structured data,"class_name, support","Shows the actual number and percentage of healthy, disease or defect categories in the rice and wheat datasets.",validation_per_class_metrics_category_distribution.png
1,Dataset category distribution,horizontal bar,results/Rice/Federated/FedAvg/NonIID_alpha0p1/MobileNetV2/evaluation/test_per_class_metrics.csv,Ready from structured data,"class_name, support","Shows the actual number and percentage of healthy, disease or defect categories in the rice and wheat datasets.",test_per_class_metrics_category_distribution.png
1,Dataset category distribution,horizontal bar,results/Rice/Federated/FedAvg/NonIID_alpha0p1/MobileNetV2/evaluation/validation_per_class_metrics.csv,Ready from structured data,"class_name, support","Shows the actual number and percentage of healthy, disease or defect categories in the rice and wheat datasets.",validation_per_class_metrics_category_distribution.png
1,Dataset category distribution,horizontal bar,results/Rice/Federated/FedAvg/NonIID_alpha0p5/MobileNetV2/evaluation/test_per_class_metrics.csv,Ready from structured data,"class_name, support","Shows the actual number and percentage of healthy, disease or defect categories in the rice and wheat datasets.",test_per_class_metrics_category_distribution.png
1,Dataset category distribution,horizontal bar,results/Rice/Federated/FedAvg/NonIID_alpha0p5/MobileNetV2/evaluation/validation_per_class_metrics.csv,Ready from structured data,"class_name, support","Shows the actual number and percentage of healthy, disease or defect categories in the rice and wheat datasets.",validation_per_class_metrics_category_distribution.png
1,Dataset category distribution,horizontal bar,results/Rice/Federated/FedAvg/NonIID_alpha0p5/ResNet18/evaluation/evaluation_metrics.json,Ready from structured data,"class_names, results.test.num_images, results.test.per_class, results.test.per_class.support, results.validation.num_images, results.validation.per_class, results.validation.per_class.support","Shows the actual number and percentage of healthy, disease or defect categories in the rice and wheat datasets.",evaluation_metrics_category_distribution.png
1,Dataset category distribution,horizontal bar,results/Rice/Federated/FedAvg/NonIID_alpha0p5/ResNet18/evaluation/test_per_class_metrics.csv,Ready from structured data,"class_name, support","Shows the actual number and percentage of healthy, disease or defect categories in the rice and wheat datasets.",test_per_class_metrics_category_distribution.png
1,Dataset category distribution,horizontal bar,results/Rice/Federated/FedAvg/NonIID_alpha0p5/ResNet18/evaluation/validation_per_class_metrics.csv,Ready from structured data,"class_name, support","Shows the actual number and percentage of healthy, disease or defect categories in the rice and wheat datasets.",validation_per_class_metrics_category_distribution.png
1,Dataset category distribution,horizontal bar,results/Wheat/Centralized/ResNet18/GroupedV2_FullInverseWeights/test_07_per_class_metrics.csv,Ready from structured data,"class_name, support","Shows the actual number and percentage of healthy, disease or defect categories in the rice and wheat datasets.",test_07_per_class_metrics_category_distribution.png
1,Dataset category distribution,horizontal bar,results/Wheat/Centralized/ResNet18/GroupedV2_FullInverseWeights/test_per_class_metrics.csv,Ready from structured data,"class_name, support","Shows the actual number and percentage of healthy, disease or defect categories in the rice and wheat datasets.",test_per_class_metrics_category_distribution.png
1,Dataset category distribution,horizontal bar,results/Wheat/Centralized/ResNet18/GroupedV2_FullInverseWeights/validation_per_class_metrics.csv,Ready from structured data,"class_name, support","Shows the actual number and percentage of healthy, disease or defect categories in the rice and wheat datasets.",validation_per_class_metrics_category_distribution.png
1,Dataset category distribution,horizontal bar,results/Wheat/Centralized/ResNet18/GroupedV3_SqrtWeights/test_07_per_class_metrics.csv,Ready from structured data,"class_name, support","Shows the actual number and percentage of healthy, disease or defect categories in the rice and wheat datasets.",test_07_per_class_metrics_category_distribution.png
1,Dataset category distribution,horizontal bar,results/Wheat/Centralized/ResNet18/GroupedV3_SqrtWeights/test_per_class_metrics.csv,Ready from structured data,"class_name, support","Shows the actual number and percentage of healthy, disease or defect categories in the rice and wheat datasets.",test_per_class_metrics_category_distribution.png
1,Dataset category distribution,horizontal bar,results/Wheat/Centralized/ResNet18/GroupedV3_SqrtWeights/validation_per_class_metrics.csv,Ready from structured data,"class_name, support","Shows the actual number and percentage of healthy, disease or defect categories in the rice and wheat datasets.",validation_per_class_metrics_category_distribution.png
1,Dataset category distribution,horizontal bar,streamlit-ui/streamlit-ui/data/dataset_categories.csv,Ready from structured data,"category, count, dataset","Shows the actual number and percentage of healthy, disease or defect categories in the rice and wheat datasets.",dataset_categories_category_distribution.png
1,Dirichlet alpha vs Accuracy,line with markers,streamlit-ui/streamlit-ui/data/experiment_results.csv,Ready if multiple alpha values exist,"alpha, client, method, accuracy",Directly explains how stronger or weaker non-IID partitioning changes model performance.,experiment_results_alpha_vs_accuracy.png
1,Dirichlet alpha vs Accuracy,line with markers,streamlit-ui/streamlit-ui/data/round_metrics.csv,Ready if multiple alpha values exist,"alpha, client, method, accuracy",Directly explains how stronger or weaker non-IID partitioning changes model performance.,round_metrics_alpha_vs_accuracy.png
1,Dirichlet alpha vs Loss,line with markers,streamlit-ui/streamlit-ui/data/round_metrics.csv,Ready if multiple alpha values exist,"alpha, client, method, loss",Directly explains how stronger or weaker non-IID partitioning changes model performance.,round_metrics_alpha_vs_loss.png
1,Dirichlet alpha vs Macro F1,line with markers,streamlit-ui/streamlit-ui/data/experiment_results.csv,Ready if multiple alpha values exist,"alpha, client, method, macro_f1",Directly explains how stronger or weaker non-IID partitioning changes model performance.,experiment_results_alpha_vs_macro_f1.png
1,Dirichlet alpha vs Macro F1,line with markers,streamlit-ui/streamlit-ui/data/round_metrics.csv,Ready if multiple alpha values exist,"alpha, client, method, macro_f1",Directly explains how stronger or weaker non-IID partitioning changes model performance.,round_metrics_alpha_vs_macro_f1.png
1,Display existing Confusion Matrix,existing saved image,experiments/results/rice/rice_ddp_resnet18/evaluation/test_confusion_matrix.png,Existing asset; no regeneration required,experiments/results/rice/rice_ddp_resnet18/evaluation/test_confusion_matrix.png,The repository already contains a suitable visual asset that can be displayed directly in Streamlit.,test_confusion_matrix.png
1,Display existing Confusion Matrix,existing saved image,experiments/results/rice/rice_ddp_resnet18/evaluation/validation_confusion_matrix.png,Existing asset; no regeneration required,experiments/results/rice/rice_ddp_resnet18/evaluation/validation_confusion_matrix.png,The repository already contains a suitable visual asset that can be displayed directly in Streamlit.,validation_confusion_matrix.png
1,Display existing Confusion Matrix,existing saved image,experiments/results/rice/rice_efficientnetb0_grouped_v1/confusion_matrix.png,Existing asset; no regeneration required,experiments/results/rice/rice_efficientnetb0_grouped_v1/confusion_matrix.png,The repository already contains a suitable visual asset that can be displayed directly in Streamlit.,confusion_matrix.png
1,Display existing Confusion Matrix,existing saved image,experiments/results/rice/rice_efficientnetb0_grouped_v1/test_confusion_matrix.png,Existing asset; no regeneration required,experiments/results/rice/rice_efficientnetb0_grouped_v1/test_confusion_matrix.png,The repository already contains a suitable visual asset that can be displayed directly in Streamlit.,test_confusion_matrix.png
1,Display existing Confusion Matrix,existing saved image,experiments/results/rice/rice_efficientnetb0_grouped_v1/validation_confusion_matrix.png,Existing asset; no regeneration required,experiments/results/rice/rice_efficientnetb0_grouped_v1/validation_confusion_matrix.png,The repository already contains a suitable visual asset that can be displayed directly in Streamlit.,validation_confusion_matrix.png
1,Display existing Confusion Matrix,existing saved image,experiments/results/rice/rice_fedavg_iid_mobilenetv2/evaluation/test_confusion_matrix.png,Existing asset; no regeneration required,experiments/results/rice/rice_fedavg_iid_mobilenetv2/evaluation/test_confusion_matrix.png,The repository already contains a suitable visual asset that can be displayed directly in Streamlit.,test_confusion_matrix.png
1,Display existing Confusion Matrix,existing saved image,experiments/results/rice/rice_fedavg_iid_mobilenetv2/evaluation/validation_confusion_matrix.png,Existing asset; no regeneration required,experiments/results/rice/rice_fedavg_iid_mobilenetv2/evaluation/validation_confusion_matrix.png,The repository already contains a suitable visual asset that can be displayed directly in Streamlit.,validation_confusion_matrix.png
1,Display existing Confusion Matrix,existing saved image,experiments/results/rice/rice_fedavg_iid_resnet18/evaluation/test_confusion_matrix.png,Existing asset; no regeneration required,experiments/results/rice/rice_fedavg_iid_resnet18/evaluation/test_confusion_matrix.png,The repository already contains a suitable visual asset that can be displayed directly in Streamlit.,test_confusion_matrix.png
1,Display existing Confusion Matrix,existing saved image,experiments/results/rice/rice_fedavg_iid_resnet18/evaluation/validation_confusion_matrix.png,Existing asset; no regeneration required,experiments/results/rice/rice_fedavg_iid_resnet18/evaluation/validation_confusion_matrix.png,The repository already contains a suitable visual asset that can be displayed directly in Streamlit.,validation_confusion_matrix.png
1,Display existing Confusion Matrix,existing saved image,experiments/results/rice/rice_fedavg_noniid_mobilenetv2/evaluation/test_confusion_matrix.png,Existing asset; no regeneration required,experiments/results/rice/rice_fedavg_noniid_mobilenetv2/evaluation/test_confusion_matrix.png,The repository already contains a suitable visual asset that can be displayed directly in Streamlit.,test_confusion_matrix.png
1,Display existing Confusion Matrix,existing saved image,experiments/results/rice/rice_fedavg_noniid_mobilenetv2/evaluation/validation_confusion_matrix.png,Existing asset; no regeneration required,experiments/results/rice/rice_fedavg_noniid_mobilenetv2/evaluation/validation_confusion_matrix.png,The repository already contains a suitable visual asset that can be displayed directly in Streamlit.,validation_confusion_matrix.png
1,Display existing Confusion Matrix,existing saved image,experiments/results/rice/rice_fedavg_noniid_resnet18/evaluation/test_confusion_matrix.png,Existing asset; no regeneration required,experiments/results/rice/rice_fedavg_noniid_resnet18/evaluation/test_confusion_matrix.png,The repository already contains a suitable visual asset that can be displayed directly in Streamlit.,test_confusion_matrix.png
1,Display existing Confusion Matrix,existing saved image,experiments/results/rice/rice_fedavg_noniid_resnet18/evaluation/validation_confusion_matrix.png,Existing asset; no regeneration required,experiments/results/rice/rice_fedavg_noniid_resnet18/evaluation/validation_confusion_matrix.png,The repository already contains a suitable visual asset that can be displayed directly in Streamlit.,validation_confusion_matrix.png
1,Display existing Confusion Matrix,existing saved image,experiments/results/rice/rice_mobilenetv2_grouped_v1/confusion_matrix.png,Existing asset; no regeneration required,experiments/results/rice/rice_mobilenetv2_grouped_v1/confusion_matrix.png,The repository already contains a suitable visual asset that can be displayed directly in Streamlit.,confusion_matrix.png
1,Display existing Confusion Matrix,existing saved image,experiments/results/rice/rice_mobilenetv2_grouped_v1/test_confusion_matrix.png,Existing asset; no regeneration required,experiments/results/rice/rice_mobilenetv2_grouped_v1/test_confusion_matrix.png,The repository already contains a suitable visual asset that can be displayed directly in Streamlit.,test_confusion_matrix.png
1,Display existing Confusion Matrix,existing saved image,experiments/results/rice/rice_mobilenetv2_grouped_v1/validation_confusion_matrix.png,Existing asset; no regeneration required,experiments/results/rice/rice_mobilenetv2_grouped_v1/validation_confusion_matrix.png,The repository already contains a suitable visual asset that can be displayed directly in Streamlit.,validation_confusion_matrix.png
1,Display existing Confusion Matrix,existing saved image,experiments/results/rice/rice_resnet18_grouped_v1/confusion_matrix.png,Existing asset; no regeneration required,experiments/results/rice/rice_resnet18_grouped_v1/confusion_matrix.png,The repository already contains a suitable visual asset that can be displayed directly in Streamlit.,confusion_matrix.png
1,Display existing Confusion Matrix,existing saved image,experiments/results/rice/rice_resnet18_grouped_v1/test_confusion_matrix.png,Existing asset; no regeneration required,experiments/results/rice/rice_resnet18_grouped_v1/test_confusion_matrix.png,The repository already contains a suitable visual asset that can be displayed directly in Streamlit.,test_confusion_matrix.png
1,Display existing Confusion Matrix,existing saved image,experiments/results/rice/rice_resnet18_grouped_v1/validation_confusion_matrix.png,Existing asset; no regeneration required,experiments/results/rice/rice_resnet18_grouped_v1/validation_confusion_matrix.png,The repository already contains a suitable visual asset that can be displayed directly in Streamlit.,validation_confusion_matrix.png
1,Display existing Confusion Matrix,existing saved image,experiments/results/wheat/wheat_resnet18_grouped_v2/test_07_confusion_matrix.png,Existing asset; no regeneration required,experiments/results/wheat/wheat_resnet18_grouped_v2/test_07_confusion_matrix.png,The repository already contains a suitable visual asset that can be displayed directly in Streamlit.,test_07_confusion_matrix.png
1,Display existing Confusion Matrix,existing saved image,experiments/results/wheat/wheat_resnet18_grouped_v2/test_confusion_matrix.png,Existing asset; no regeneration required,experiments/results/wheat/wheat_resnet18_grouped_v2/test_confusion_matrix.png,The repository already contains a suitable visual asset that can be displayed directly in Streamlit.,test_confusion_matrix.png
1,Display existing Confusion Matrix,existing saved image,experiments/results/wheat/wheat_resnet18_grouped_v2/validation_confusion_matrix.png,Existing asset; no regeneration required,experiments/results/wheat/wheat_resnet18_grouped_v2/validation_confusion_matrix.png,The repository already contains a suitable visual asset that can be displayed directly in Streamlit.,validation_confusion_matrix.png
1,Display existing Confusion Matrix,existing saved image,experiments/results/wheat/wheat_resnet18_grouped_v3_sqrt_weights/test_07_confusion_matrix.png,Existing asset; no regeneration required,experiments/results/wheat/wheat_resnet18_grouped_v3_sqrt_weights/test_07_confusion_matrix.png,The repository already contains a suitable visual asset that can be displayed directly in Streamlit.,test_07_confusion_matrix.png
1,Display existing Confusion Matrix,existing saved image,experiments/results/wheat/wheat_resnet18_grouped_v3_sqrt_weights/test_confusion_matrix.png,Existing asset; no regeneration required,experiments/results/wheat/wheat_resnet18_grouped_v3_sqrt_weights/test_confusion_matrix.png,The repository already contains a suitable visual asset that can be displayed directly in Streamlit.,test_confusion_matrix.png
1,Display existing Confusion Matrix,existing saved image,experiments/results/wheat/wheat_resnet18_grouped_v3_sqrt_weights/validation_confusion_matrix.png,Existing asset; no regeneration required,experiments/results/wheat/wheat_resnet18_grouped_v3_sqrt_weights/validation_confusion_matrix.png,The repository already contains a suitable visual asset that can be displayed directly in Streamlit.,validation_confusion_matrix.png
1,Display existing Confusion Matrix,existing saved image,paper/figures/wheat_v3_test07_confusion_matrix_normalized.png,Existing asset; no regeneration required,paper/figures/wheat_v3_test07_confusion_matrix_normalized.png,The repository already contains a suitable visual asset that can be displayed directly in Streamlit.,wheat_v3_test07_confusion_matrix_normalized.png
1,Display existing Confusion Matrix,existing saved image,results/Rice/Centralized/EfficientNetB0/seed42/confusion_matrix.png,Existing asset; no regeneration required,results/Rice/Centralized/EfficientNetB0/seed42/confusion_matrix.png,The repository already contains a suitable visual asset that can be displayed directly in Streamlit.,confusion_matrix.png
1,Display existing Confusion Matrix,existing saved image,results/Rice/Centralized/EfficientNetB0/seed42/test_confusion_matrix.png,Existing asset; no regeneration required,results/Rice/Centralized/EfficientNetB0/seed42/test_confusion_matrix.png,The repository already contains a suitable visual asset that can be displayed directly in Streamlit.,test_confusion_matrix.png
1,Display existing Confusion Matrix,existing saved image,results/Rice/Centralized/EfficientNetB0/seed42/validation_confusion_matrix.png,Existing asset; no regeneration required,results/Rice/Centralized/EfficientNetB0/seed42/validation_confusion_matrix.png,The repository already contains a suitable visual asset that can be displayed directly in Streamlit.,validation_confusion_matrix.png
1,Display existing Confusion Matrix,existing saved image,results/Rice/Centralized/MobileNetV2/seed42/confusion_matrix.png,Existing asset; no regeneration required,results/Rice/Centralized/MobileNetV2/seed42/confusion_matrix.png,The repository already contains a suitable visual asset that can be displayed directly in Streamlit.,confusion_matrix.png
1,Display existing Confusion Matrix,existing saved image,results/Rice/Centralized/MobileNetV2/seed42/test_confusion_matrix.png,Existing asset; no regeneration required,results/Rice/Centralized/MobileNetV2/seed42/test_confusion_matrix.png,The repository already contains a suitable visual asset that can be displayed directly in Streamlit.,test_confusion_matrix.png
